CollectionName,SessionId,TestId,Timestamp,RFBand,MOS,RSRP Rx,SINR Rx,RSRQ Rx,DataType
SYNTHETIC_5G_VOICE_2026,1003,50,2026-06-15 09:14:45,n28,2.132,-106.33,4.22,-17.4,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,51,2026-06-15 09:14:50,n28,3.721,-92.08,13.61,-14.53,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,52,2026-06-15 09:14:55,n28,4.557,-80.31,19.97,-15.03,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,53,2026-06-15 09:15:00,n28,3.656,-86.53,7.29,-19.43,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,54,2026-06-15 09:15:05,n28,3.481,-100.88,5.6,-14.1,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,55,2026-06-15 09:15:10,n28,3.405,-101.71,9.79,-14.39,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,56,2026-06-15 09:15:15,n28,3.869,-88.53,14.77,-12.53,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,57,2026-06-15 09:15:20,n28,2.414,-90.2,13.4,-15.7,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,58,2026-06-15 09:15:25,n28,3.459,-96.84,7.52,-17.15,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,59,2026-06-15 09:15:30,n28,3.531,-110.75,3.17,-16.89,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,60,2026-06-15 09:15:35,n28,3.113,-112.33,3.23,-18.86,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,61,2026-06-15 09:21:00,n28,3.426,-87.79,10.46,-13.28,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,62,2026-06-15 09:21:05,n28,3.012,-99.99,9.0,-15.22,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,63,2026-06-15 09:21:10,n28,3.134,-103.58,4.37,-13.64,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,64,2026-06-15 09:21:15,n28,3.682,-93.46,4.77,-13.9,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,65,2026-06-15 09:21:20,n28,3.604,-86.12,12.29,-13.25,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,66,2026-06-15 09:21:25,n28,3.128,-99.05,6.5,-13.99,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,67,2026-06-15 09:21:30,n28,4.107,-96.16,6.25,-17.4,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,68,2026-06-15 09:21:35,n28,4.321,-94.49,10.67,-17.18,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,69,2026-06-15 09:21:40,n28,4.143,-102.22,10.85,-19.42,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,70,2026-06-15 09:21:45,n28,3.665,-96.09,8.94,-14.84,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,71,2026-06-15 09:21:50,n28,3.803,-100.4,8.82,-18.43,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,72,2026-06-15 09:21:55,n28,3.443,-107.99,0.97,-19.0,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,73,2026-06-15 09:22:00,n28,3.392,-100.13,7.25,-14.31,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,74,2026-06-15 09:22:05,n28,3.466,-100.64,2.4,-17.49,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,75,2026-06-15 09:22:10,n28,3.13,-103.56,8.08,-14.48,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,76,2026-06-15 09:22:15,n28,3.701,-103.17,8.91,-17.06,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,77,2026-06-15 09:22:20,n28,2.441,-117.72,1.93,-18.77,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,78,2026-06-15 09:22:25,n28,3.577,-103.37,9.57,-14.38,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,79,2026-06-15 09:22:30,n28,3.148,-110.86,-0.4,-19.36,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1004,80,2026-06-15 09:22:35,n28,2.747,-118.03,-0.72,-17.33,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,81,2026-06-15 09:28:00,n28,3.168,-101.17,3.88,-14.1,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,82,2026-06-15 09:28:05,n28,2.849,-112.71,1.12,-16.94,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,83,2026-06-15 09:28:10,n28,3.652,-90.35,15.49,-13.94,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,84,2026-06-15 09:28:15,n28,3.058,-104.07,2.99,-16.92,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,85,2026-06-15 09:28:20,n28,3.127,-100.74,7.3,-16.99,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,86,2026-06-15 09:28:25,n28,3.374,-97.6,7.73,-16.17,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,87,2026-06-15 09:28:30,n28,4.401,-83.49,17.59,-16.73,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,88,2026-06-15 09:28:35,n28,3.334,-100.87,10.47,-17.09,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,89,2026-06-15 09:28:40,n28,2.696,-109.89,-4.16,-19.32,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,90,2026-06-15 09:28:45,n28,2.986,-109.64,2.57,-14.62,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,91,2026-06-15 09:28:50,n28,2.863,-110.27,1.96,-16.47,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,92,2026-06-15 09:28:55,n28,3.562,-93.4,9.24,-16.07,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,93,2026-06-15 09:29:00,n28,3.617,-87.01,17.27,-13.71,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,94,2026-06-15 09:29:05,n28,2.614,-102.33,0.2,-15.69,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,95,2026-06-15 09:29:10,n28,3.353,-106.61,4.37,-18.37,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,96,2026-06-15 09:29:15,n28,3.06,-99.71,12.45,-18.61,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,97,2026-06-15 09:29:20,n28,2.691,-93.13,9.27,-16.56,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,98,2026-06-15 09:29:25,n28,3.778,-91.07,10.74,-17.13,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,99,2026-06-15 09:29:30,n28,2.206,-91.79,11.23,-15.75,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1005,100,2026-06-15 09:29:35,n28,3.934,-93.23,13.36,-13.67,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,101,2026-06-15 09:35:00,n28,3.813,-106.68,8.82,-17.97,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,102,2026-06-15 09:35:05,n28,3.645,-100.05,8.8,-13.82,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,103,2026-06-15 09:35:10,n28,2.982,-107.24,7.49,-15.67,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,104,2026-06-15 09:35:15,n28,3.76,-94.61,9.64,-14.8,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,105,2026-06-15 09:35:20,n28,3.682,-105.31,1.13,-16.77,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,106,2026-06-15 09:35:25,n28,3.759,-94.26,14.29,-14.94,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,107,2026-06-15 09:35:30,n28,3.736,-96.03,9.23,-14.39,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,108,2026-06-15 09:35:35,n28,3.725,-91.75,10.95,-15.68,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,109,2026-06-15 09:35:40,n28,2.834,-102.75,5.01,-16.13,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,110,2026-06-15 09:35:45,n28,4.181,-82.31,23.03,-13.03,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,111,2026-06-15 09:35:50,n28,3.877,-106.94,6.65,-18.1,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,112,2026-06-15 09:35:55,n28,3.958,-82.95,21.38,-15.75,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,113,2026-06-15 09:36:00,n28,3.09,-112.71,2.94,-15.65,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,114,2026-06-15 09:36:05,n28,3.353,-109.49,1.69,-19.73,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,115,2026-06-15 09:36:10,n28,4.072,-90.44,7.63,-13.12,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,116,2026-06-15 09:36:15,n28,3.204,-111.38,2.55,-17.34,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,117,2026-06-15 09:36:20,n28,3.457,-97.56,10.78,-15.1,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,118,2026-06-15 09:36:25,n28,3.437,-102.06,3.97,-12.66,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,119,2026-06-15 09:36:30,n28,2.898,-101.84,2.9,-16.84,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1006,120,2026-06-15 09:36:35,n28,3.108,-115.06,-0.0,-16.5,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,121,2026-06-15 09:42:00,n28,3.272,-89.47,9.09,-15.51,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,122,2026-06-15 09:42:05,n28,3.664,-93.65,10.06,-16.98,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,123,2026-06-15 09:42:10,n28,3.729,-95.69,12.64,-13.79,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,124,2026-06-15 09:42:15,n28,3.424,-105.42,-0.43,-17.31,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,125,2026-06-15 09:42:20,n28,2.453,-101.52,8.41,-15.33,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,126,2026-06-15 09:42:25,n28,3.167,-94.71,8.93,-11.35,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,127,2026-06-15 09:42:30,n28,3.645,-104.32,7.77,-17.55,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,128,2026-06-15 09:42:35,n28,3.755,-107.96,1.46,-16.84,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,129,2026-06-15 09:42:40,n28,3.367,-93.58,12.25,-16.84,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,130,2026-06-15 09:42:45,n28,3.716,-94.62,7.78,-16.66,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,131,2026-06-15 09:42:50,n28,3.342,-100.16,2.97,-18.83,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,132,2026-06-15 09:42:55,n28,3.887,-89.78,6.87,-15.08,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,133,2026-06-15 09:43:00,n28,3.483,-100.45,3.21,-18.7,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,134,2026-06-15 09:43:05,n28,2.431,-101.88,5.53,-17.35,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,135,2026-06-15 09:43:10,n28,3.54,-97.02,6.84,-17.05,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,136,2026-06-15 09:43:15,n28,4.259,-86.77,9.7,-15.02,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,137,2026-06-15 09:43:20,n28,2.712,-106.89,-0.03,-20.86,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,138,2026-06-15 09:43:25,n28,3.972,-95.17,15.04,-16.53,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,139,2026-06-15 09:43:30,n28,3.495,-97.78,8.63,-18.15,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1007,140,2026-06-15 09:43:35,n28,3.178,-95.75,7.33,-20.04,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,141,2026-06-15 09:49:00,n28,4.081,-91.24,12.9,-15.74,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,142,2026-06-15 09:49:05,n28,3.726,-84.3,14.22,-18.66,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,143,2026-06-15 09:49:10,n28,3.439,-103.16,3.62,-14.08,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,144,2026-06-15 09:49:15,n28,3.251,-110.98,-4.01,-17.28,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,145,2026-06-15 09:49:20,n28,3.593,-103.71,5.64,-17.37,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,146,2026-06-15 09:49:25,n28,3.384,-95.24,7.75,-16.59,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,147,2026-06-15 09:49:30,n28,3.614,-95.82,5.95,-17.85,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,148,2026-06-15 09:49:35,n28,3.734,-91.5,11.31,-20.5,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,149,2026-06-15 09:49:40,n28,3.421,-108.46,2.22,-16.48,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,150,2026-06-15 09:49:45,n28,3.354,-110.13,-1.6,-17.17,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,151,2026-06-15 09:49:50,n28,3.67,-112.18,3.05,-13.65,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,152,2026-06-15 09:49:55,n28,3.471,-99.66,9.55,-17.83,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,153,2026-06-15 09:50:00,n28,4.253,-81.24,16.91,-15.28,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,154,2026-06-15 09:50:05,n28,2.985,-113.5,0.53,-18.76,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,155,2026-06-15 09:50:10,n28,3.649,-93.7,10.48,-17.2,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,156,2026-06-15 09:50:15,n28,2.651,-117.46,-1.92,-16.95,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,157,2026-06-15 09:50:20,n28,2.966,-117.07,2.43,-20.21,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,158,2026-06-15 09:50:25,n28,3.522,-103.4,9.79,-13.77,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,159,2026-06-15 09:50:30,n28,3.077,-107.59,2.85,-19.0,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1008,160,2026-06-15 09:50:35,n28,3.116,-102.4,8.12,-16.76,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,161,2026-06-15 09:56:00,n28,3.529,-102.51,6.03,-19.07,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,162,2026-06-15 09:56:05,n28,3.275,-107.78,7.32,-20.5,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,163,2026-06-15 09:56:10,n28,3.558,-99.93,2.08,-18.97,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,164,2026-06-15 09:56:15,n28,2.728,-106.51,-0.82,-16.92,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,165,2026-06-15 09:56:20,n28,3.239,-93.36,2.67,-16.17,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,166,2026-06-15 09:56:25,n28,4.26,-88.91,17.0,-17.11,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,167,2026-06-15 09:56:30,n28,3.293,-106.43,3.1,-19.76,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,168,2026-06-15 09:56:35,n28,3.782,-101.65,1.74,-20.0,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,169,2026-06-15 09:56:40,n28,3.866,-100.23,11.08,-14.11,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,170,2026-06-15 09:56:45,n28,3.366,-106.61,4.87,-16.92,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,171,2026-06-15 09:56:50,n28,2.857,-106.79,6.37,-14.69,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,172,2026-06-15 09:56:55,n28,3.324,-106.07,10.04,-14.06,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,173,2026-06-15 09:57:00,n28,2.213,-104.31,7.47,-14.68,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,174,2026-06-15 09:57:05,n28,4.083,-93.48,14.81,-16.32,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,175,2026-06-15 09:57:10,n28,3.474,-92.31,7.6,-17.4,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,176,2026-06-15 09:57:15,n28,3.447,-97.05,10.02,-14.1,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,177,2026-06-15 09:57:20,n28,2.999,-99.34,-1.11,-20.11,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,178,2026-06-15 09:57:25,n28,3.089,-77.47,18.58,-11.98,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,179,2026-06-15 09:57:30,n28,2.662,-112.92,-6.15,-18.53,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1009,180,2026-06-15 09:57:35,n28,3.663,-175.0,12.48,-13.32,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,181,2026-06-15 10:03:00,n28,2.385,-108.77,-2.2,-20.44,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,182,2026-06-15 10:03:05,n28,3.12,-103.32,8.99,-18.3,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,183,2026-06-15 10:03:10,n28,3.538,-103.94,10.55,-15.19,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,184,2026-06-15 10:03:15,n28,3.444,-89.71,12.15,-12.57,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,185,2026-06-15 10:03:20,n28,2.955,-95.59,6.52,-15.35,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,186,2026-06-15 10:03:25,n28,4.787,-83.65,21.44,-10.83,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,187,2026-06-15 10:03:30,n28,2.801,-103.83,-3.32,-15.09,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,188,2026-06-15 10:03:35,n28,3.288,-99.64,7.17,-18.03,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,189,2026-06-15 10:03:40,n28,2.395,-105.28,1.01,-15.55,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,190,2026-06-15 10:03:45,n28,3.144,-99.81,8.32,-14.37,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,191,2026-06-15 10:03:50,n28,2.84,-99.45,8.92,-14.23,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,192,2026-06-15 10:03:55,n28,3.167,-103.91,6.42,-14.98,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,193,2026-06-15 10:04:00,n28,4.306,-85.45,18.9,-12.87,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,194,2026-06-15 10:04:05,n28,3.304,-100.88,-0.68,-20.07,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,195,2026-06-15 10:04:10,n28,3.286,-103.34,6.51,-18.07,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,196,2026-06-15 10:04:15,n28,3.951,-91.99,12.29,-19.2,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,197,2026-06-15 10:04:20,n28,3.639,-89.51,15.8,-19.17,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,198,2026-06-15 10:04:25,n28,3.646,-104.42,6.44,-13.97,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,199,2026-06-15 10:04:30,n28,2.952,-106.35,0.29,-17.74,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1010,200,2026-06-15 10:04:35,n28,3.388,-99.82,9.25,-16.42,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1011,201,2026-06-15 10:10:00,n28,2.961,-94.28,12.42,-16.37,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1011,202,2026-06-15 10:10:05,n28,4.132,-85.39,16.13,-13.89,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1011,203,2026-06-15 10:10:10,n28,3.814,-94.74,10.78,-15.51,SYNTHETIC
